sku,product_type,weight,additional_attributes
ADS3000NZU1,simple,6.2,"ts_dimensions_height=33,ts_dimensions_length=25.4,ts_dimensions_width=38.2"
ADS2400NZU1,simple,6.2,"ts_dimensions_height=33,ts_dimensions_length=25.4,ts_dimensions_width=38.2"
HLL5200DWZU1,simple,13,"ts_dimensions_height=37.7,ts_dimensions_length=45,ts_dimensions_width=48.5"
DCPL5500DNZU1,simple,19.7,"ts_dimensions_height=64.1,ts_dimensions_length=52,ts_dimensions_width=54.5"
C11CD68301A0,simple,146,"ts_dimensions_height=82,ts_dimensions_length=191,ts_dimensions_width=105"
C11CF12301A1,simple,61.4,"ts_dimensions_height=60.5,ts_dimensions_length=115.1,ts_dimensions_width=73"
C31CD54012CD,simple,15,"ts_dimensions_height=42.5,ts_dimensions_length=44,ts_dimensions_width=40"
STEA2000400,simple,0.26,"ts_dimensions_height=14,ts_dimensions_length=3.1,ts_dimensions_width=10.3"
AGPAP001,simple,0,"ts_dimensions_height=20.3,ts_dimensions_length=0.3,ts_dimensions_width=10.1"
AP9631,simple,0.34,"ts_dimensions_height=5.1,ts_dimensions_length=15.9,ts_dimensions_width=23.5"
AP4421,simple,,"ts_dimensions_height=11.4,ts_dimensions_length=34.9,ts_dimensions_width=60"
AP9878,simple,0.36,"ts_dimensions_height=30.5,ts_dimensions_length=10.2,ts_dimensions_width=10.2"
NBPD0150,simple,1.82,""
PM5U-UK,simple,,"ts_dimensions_height=5.8,ts_dimensions_length=13,ts_dimensions_width=40.5"
SMX120BP,simple,65.5,"ts_dimensions_height=33,ts_dimensions_length=63.3,ts_dimensions_width=58.6"
90LJ0080-B01520,simple,0.88,"ts_dimensions_height=13.5,ts_dimensions_length=9.5,ts_dimensions_width=17"
UC232B-AT,simple,0.12,"ts_dimensions_height=16,ts_dimensions_length=11.9,ts_dimensions_width=5.9"
CS1914-AT-E,simple,2.46,"ts_dimensions_height=21,ts_dimensions_length=32.5,ts_dimensions_width=9.8"
UE2120H,simple,0.59,"ts_dimensions_height=15.7,ts_dimensions_length=18.6,ts_dimensions_width=5.6"
2L-5201U,simple,0.15,""
2L-5202UP,simple,0.18,""
US424-AT,simple,0.3,"ts_dimensions_height=22.3,ts_dimensions_length=15.5,ts_dimensions_width=5.5"
VC810-AT,simple,0.07,"ts_dimensions_height=3.5,ts_dimensions_length=18,ts_dimensions_width=12.5"
