sku,weight (kg),depth (cm),width (cm),height (cm)
ADS3000NZU1,6.2,25.4,38.2,33
ADS2400NZU1,6.2,25.4,38.2,33
HLL5200DWZU1,13,45,48.5,37.7
DCPL5500DNZU1,19.7,52,54.5,64.1
C11CD68301A0,146,191,105,82
C11CF12301A1,61.4,115.1,73,60.5
C31CD54012CD,15,44,40,42.5
STEA2000400,0.26,3.1,10.3,14
AGPAP001,0,0.3,10.1,20.3
AP9631,0.34,15.9,23.5,5.1
AP4421,,34.9,60,11.4
AP9878,0.36,10.2,10.2,30.5
NBPD0150,1.82,,,
PM5U-UK,,13,40.5,5.8
SMX120BP,65.5,63.3,58.6,33
90LJ0080-B01520,0.88,9.5,17,13.5
UC232B-AT,0.12,11.9,5.9,16
CS1914-AT-E,2.46,32.5,9.8,21
UE2120H,0.59,18.6,5.6,15.7
2L-5201U,0.15,,,
2L-5202UP,0.18,,,
US424-AT,0.3,15.5,5.5,22.3
VC810-AT,0.07,18,12.5,3.5
VC080-AT,0.33,11.9,5.9,16
DELL-13H6D,11,50,57,34
V11H932041,14.4,65.5,51.2,26
C11CH65301A1,0.13,90,111,150
C32C834031,,110,0.8,0.1
C13T664440,0,14.5,8,6.2
C12C817011,0,61,18.5,52
88011-99,0.03,1,1,3
8100-119,,15.5,9,4.5
C734X77G,0.46,,,
C734X20G,0.41,,,
910-004068,0.22,13.4,4.6,19.1
ICUSBAUDIOB,0.1,14.3,17.3,3.3
BOX4HDECP,1.8,23.5,16,19
110VDSLEXTGB,0.94,13.7,14.8,9.5
UNIDOCKU33,1.1,18.7,12.3,21.4
SDOCK2U33RE,1.05,,19,21.3
ICUSB1284D25,0.12,22,20,2.2
RK2620WALHM,75,65,60,140
ESATAPLATE2,0.06,12.4,2,21.5
USB32DVCAPRO,0.46,21.7,15,5.2
AWE81EU,1,36.5,4,26.5
EAX80-100EUS,1.4,12.6,32.7,25.8
VG279Q1R,6.1,18.3,62.9,49.9
TS-451DEU-2G/48TB-IW,5.79,,,
6598-832-209,,12.4,5.5,18.65
SDSSDE60-1T00-G25,0.11,3.25,10.16,15.24
E510MA-BR847WS,2.57,46,6.5,29
90YV0ID1-M0NA00,3.65,22.6,42,12.6
1626012,0.83,15,11.3,11
214573-01,0.16,17.7,14.2,5.5
40971,2.5,,,
32121,0.31,5.5,18.5,14
P2662,0.06,1.2,10.8,19.5
S37-0400020-SV1,0.7,,,
CS-1900,4,26.5,26.7,22.5
70437,0.29,12,15.5,6
980-001301,8.99,42.6,36.2,27.8
VM-FAN556,3.27,57.5,45.3,13
GSR212,0.09,19.69,38.74,19.69
CUBI NUC 1M I7 150U BB,0,22,20.5,9.4
XO2TBK.CEUSLLK,1.5,16.5,16.5,28.2
2135,23,167,50.5,13
61U6300000AC,7.18,38.9,39.2,23.9
9S7-17S151-647,,11.9,46.1,37.6
NH.QLZEK.00F,4.05,54.3,8,34.1
RRS-00150,3.3,36,29.2,27.5
GV-N408SAORUSX ICE-16GD,3.23,50.85,32,12.75
TBLT4MM50CM,0.02,22,12.8,2
952-000123,0.51,28.16,15.22,8.76
DN-94004,0.59,,12,29
ASK-HT-S144H,0.18,2,10.5,26.5
QAU-00104,0.49,17.6,17.8,7.4
GV-N507TWF3OC-16GD,3,39.8,23,8.5
GV-N407TSAI TOP-16GD,1.68,32.2,21.4,7.5
GV-N5080AORUS M-16GD,3,45.3,24.5,16
VCG508016TFXPB1-O,,10.29,40.49,19.89
JW811A,30,8.58,8.78,2.17
BR1200GI,13.2,48.8,23.8,38.7
SC420I,10.2,50.8,26.2,31.8
SURT1000RMXLI,27.8,59.4,63,28.6
SRT8KXLI,126.8,100,60,46.1
SC450RMI1U,11.7,58.9,47.6,16.4
SC620I,13.2,50.8,26.2,31.8
SUA750RMI1U,25.4,77.5,55.9,19.1
SMX750I,26.5,62,58.9,24.6
SMT1000RMI2UC,31.4,60.3,59.4,25.1
SMX1000I,27.3,62,58.9,24.6
SMX1500RMI2U,30,62,58.9,24.6
SMT1500RMI1U,29.1,79.4,57.5,20
SMT1500RMI2UNC,31.8,60.3,59.4,25.1
SMT2200RMI2UNC,49.6,98,60,25.4
SMX2200HVNC,47.6,63.3,58.6,33
SMT2200IC,61.9,76.2,38.1,69.9
SRT1500RMXLI,29.6,74.9,59.4,24.6
SRT2200RMXLI,34,81,59.9,24.6
SRT3000RMXLW-IEC,39.9,87.1,59.9,24.6
SRT6KRMXLI,67,96,61,37
SRT8KRMXLI,130,100,60,46.1
SRT10KXLI,126.8,100,60,46.1
SRT10KRMXLI,130,100,60,46.1
SYA12K16RMI,290,,,
BR900G-GR,12.4,33.7,22.5,48.7
SMT3000RMI2U,51.7,98,60,25.4
SUA750IX38,14.6,,,
BK350,6.36,,,
ADS3600WZU1,6.3,25.4,38.2,33
ADS2200ZU1,4,24.5,39.3,28.6
ADS2700WZU1,3.9,24.5,39.3,28.6
ADS1700WZU1,1.9,15.7,38,20
MFCJ5945DWZU1,25.3,54.3,66.2,50.4
QL820NWBZU1,2.62,18.4,29.8,23.2
VC500WZU1,1.79,24.8,25.4,10.8
HLL5100DNZU1,13,45,48.5,37.7
HLL6300DWZU1,15.8,49.2,49.7,42.7
HLL5100DNTZU1,22,52.2,66.2,70.2
MFCL3770CDWZU1,28.8,52.3,62.3,56.8
DCPL3550CDWZU1,27.4,56.8,58.9,52.3
MFCL3710CWZU1,26.7,58.9,52.3,56.8
HLL6400DWZU1,16,49.2,49.7,53.1
HLL6400DWTZU1,25.9,52.2,66.2,85.6
DS740DTJ1,1.02,16.2,37.7,7.6
DS940DWTJ1,1.11,16.2,37.7,7.6
MFCL6900DWZU1,23.8,52.6,59.9,76.2
MFCL5750DWZU1,20.2,52,54.5,64.1
MFCL6800DWZU1,22.9,52.6,59.9,65.9
MFCL5700DNZU1,20.1,52,54.5,64.1
MFCL8900CDWZU1,35,59.5,66.5,64.5
MFCL9570CDWZU1,36.1,65.2,67.5,72.6
MFCL2750DWZU1,14.9,51.7,58,43.4
MFCJ6945DWZU1,28.7,57.6,68.1,50.4
DS720DZ1,1.18,7,35.4,25.4
C11CF66001A4,67,100,91.5,59
C11CC25002,5.11,42.5,36,22
C11C376125,0.01,54.5,32.2,46.5
C11CC24032,5.2,42,36,21.5
C11CC25001,0.01,42.5,22,36
C31C514007A3,3.8,40,25,24.3
C11CF37402,8.91,54,45,28
C11CF39402A1,9.28,34,4,8
C11CF39403,8.91,53.4,44.6,28.1
C11CF39401,0.01,53.4,28.1,44.6
C11CF40403,12.2,73.5,45.1,29.5
B11B204131BY,18.5,84.4,63.5,36
B11B204331BY,35,87.5,74.5,53.4
C31C518052,5.04,37.5,24,25
