sku,weight (kg),depth (cm),width (cm),height (cm)
P11052-421,21,17.4,64.8,46.25
P03633-B21,,70.7,43.46,4.29
P06477-B21,,38.22,43.46,4.32
P04647-B21,18.2,61.49,110.39,4.29
P04923-421,6.5,25.4,23,23.5
P20249-B21,14.79,28.8,17.5,3.44
835265-031,30,76.9,21.9,46.4
P07203-421,6.5,25.4,23,23.5
826684-B21,14.8,68,44.5,9
878970-B21,,24.2,17.1,1.69
879514-B21,13.02,25,17.5,3.44
JL001A,20.5,45.09,44.45,30.73
JL386A,4.4,32.26,44.25,4.39
JL384A,3.31,24.61,44.25,4.39
JL073A,,17,17.4,1.7
JL357A,,12,17.4,1.7
JL325A,0.15,,,
JL319A,4.45,32.43,44.25,4.39
J9565A,1.66,,,
JC103B,8.5,42.7,44,4.36
SMV1000CAI,13.6,,,
MXNG2B/A,1.3,19.7,19.7,3.6
MY3C2B/A,0.64,0.59,21.49,28.06
ADS3000NZU1,6.2,25.4,38.2,33
ADS2400NZU1,6.2,25.4,38.2,33
TD2020XX1,1.32,21.5,11,17.2
RJ4230BZ1,0.85,15.9,15.3,6.8
HLL5200DWZU1,13,45,48.5,37.7
PJ773Z1,0.48,5.5,25.5,3
DCPL5500DNZU1,19.7,52,54.5,64.1
0972C008,9.6,39.4,46.3,29
C11CD68301A0,146,191,105,82
C11CF12301A1,61.4,115.1,73,60.5
C31CD54012CD,15,44,40,42.5
P04560-B21,,,,0.7
700139-B21,0,1.1,1.5,0.1
WDBVXC0060HWT-EESN,1.11,14,5.3,17.55
WDS100T2B0B,,3.1,0.9,0.1
WDBJRT0040BBK-WESN,,11,8.15,2.1
WDBKVX0010PSL-WESN,,1,4.5,9
WDBVBZ0060JCH-EESN,,15.49,9.91,17.14
STEA2000400,0.26,3.1,10.3,14
E10G18-T1,,1.36,6.81,8.6
RT2600AC,,16.9,28,7.7
AGPAP001,0,0.3,10.1,20.3
AUV128-32G-RBE,0.01,6,2,1
AT-AR4050S-50,1.7,,,
AT-MMC6005-60,0.2,9.91,5.08,2.03
AT-MMC200/LC-960,0.17,10.16,5.6,2.18
AP9631,0.34,15.9,23.5,5.1
AP4421,3.93,34.9,60,11.4
